origin,desc_1,desc_3,roast,agtron
"Yirgacheffe growing region, southern Ethiopia","Delicate, richly floral, sweetly spice-toned. Almond nougat, white peach, pink peppercorn, wisteria-like flowers, fragrant sandalwood in aroma and cup. Richly bittersweet structure with vibrant, juicy acidity; plush, syrupy mouthfeel. Resonant, flavor-saturated finish centers around peach, wisteria and sandalwood.","A nuanced, multi-layered washed Ethiopia cup with a deep floral profile and energetic lift from an elegant spice throughline.Explore Similar CoffeesClick here for more reviews from JBC Coffee RoastersClick here for more information about coffees from EthiopiaVisit JBC Coffee Roasters ",Medium-Light,53/75
"Yirgacheffe growing region, southern Ethiopia","Delicate, sweetly herbaceous. Cocoa nib, bergamot, narcissus-like flowers, black tea, cedar in aroma and cup. Sweet-savory structure with rich, citrusy acidity; full, syrupy mouthfeel. The finish is redolent with notes of bergamot and narcissus in the short, cocoa-toned cedar in the long.","Citrus-driven, sweetly herb-toned, very delicate yet aromatically rich.Explore Similar CoffeesClick here for more reviews from Blues Brew CoffeeClick here for more information about coffees from Ethiopia ",Medium-Light,53/75
"Planadas, southern Tolima growing region, Colombia","Crisply sweet, cocoa-toned. Cocoa nib, almond nougat, narcissus-like flowers, apricot, a hint of pipe tobacco in aroma and cup. Sweet-tart structure with lively acidity; crisp, satiny mouthfeel. The long, resonant finish consolidates to notes of apricot and cocoa-toned almond. ","A solid Colombia cup, classic in its deep, balanced sweetness and cocoa throughline.Explore Similar CoffeesClick here for more reviews from JBC Coffee RoastersClick here for more information about coffees from ColombiaVisit JBC Coffee Roasters ",Medium-Light,55/77
"West Guji Zone, Oromia Region, southeastern Ethiopia","Bright, crisp, sweetly tart. Citrus medley, cacao nib, pink peppercorn, dogwood, almond in aroma and cup. Sweet-tart structure with lively acidity; crisp, satiny mouthfeel. The short finish is intense with notes of citrus and pink peppercorn, while the long softens to almond-toned florals.","A poised and melodic wet-processed Ethiopia coffee, centered on complex citrus notes supported by sweet spice and cocoa.Explore Similar CoffeesClick here for more reviews from Flight Coffee Co.Click here for more information about coffees from Ethiopia ",Medium-Light,56/80
Northern Thailand,"Evaluated as espresso. Deeply rich, sweetly roast-rounded. Dark chocolate, gently scorched cedar, magnolia, black cherry, almond in aroma and small cup. Full, satiny mouthfeel; crisp, resonant finish centered around dark chocolate and black cherry notes, underscored by cedar-like aromatic wood. In three parts milk, the chocolate blooms and and notes of black cherry and magnolia resurface.","A rich, resonant espresso from Thailand, especially attractive in cappuccino-scaled milk.Explore Similar CoffeesClick here for more reviews from Doi Chaang CoffeeClick here for more information about coffees from Thailand ",Medium,46/68
"Nyeri growing region, south-central Kenya","Deeply sweet, richly savory. Dark chocolate, pistachio, red currant jam, honeysuckle, a hint of marjoram in aroma and cup. Balanced, sweetly savory structure with elegant, lilting acidity; lush, syrupy mouthfeel. The resonant finish consolidates to notes of dark chocolate and red currant, with undertones of crisp marjoram.","A high-toned, nuanced Kenya cup, classic in its presentation of sweet-tart currant and deep chocolate notes.Explore Similar CoffeesClick here for more reviews from Temple Coffee RoastersClick here for more information about coffees from KenyaVisit Temple Coffee Roasters ",Medium,48/72
"Sidamo (also Sidama) growing region, south-central Ethiopia","Fruit-forward, richly chocolaty. Raspberry coulis, chocolate fudge, brandy, cedar, mace in aroma and cup. Sweet-tart structure with gentle, rounded acidity; full, creamy mouthfeel. Fruit-toned finish: think berries enveloped in chocolate, with a hint of mace in the long.","A playful, unrestrained fruit bomb of a coffee, rich with berry and fudgy chocolate notes throughout.Explore Similar CoffeesClick here for more reviews from Temple Coffee RoastersClick here for more information about coffees from EthiopiaVisit Temple Coffee Roasters ",Medium-Light,55/77
"Ethiopia, Colombia, Kenya","Evaluated as espresso. Rich, chocolaty, sweetly tart. Dark chocolate, peach, Szechuan peppercorn, orange zest, myrrh in aroma and small cup. Smooth, satiny mouthfeel; resonant, chocolaty finish. In three parts milk, notes of Szechuan peppercorn and dark chocolate harmonize sweetly, with undercurrents of peach and myrrh.","An espresso blend in which spice notes — in particular, a peppery element reminiscent of sweet Szechuan peppercorns — figure prominently and are in harmonious balance with the rich sweetness of the coffee, both in the straight shot and in milk.Explore Similar CoffeesClick here for more reviews from Choosy Gourmet ",Medium-Light,51/75
"Santa Bárbara, Honduras","Spice-toned, complex, richly bittersweet. Blackberry, dark chocolate, blood orange zest, ginger blossom, oak in aroma and cup. Bittersweet in structure with bright, high-toned acidity; plush, syrupy mouthfeel. The resonant finish is redolent with notes of cocoa-toned blackberry and spicy ginger blossom.","A subtly but strikingly original Honduras coffee: deep, complex and sweetly spice-toned.Explore Similar CoffeesClick here for more reviews from Café GrumpyClick here for more information about coffees from Honduras ",Medium-Light,56/80
"Kalehe, South Kivu Province, Democratic Republic of the Congo","High-toned, balanced, crisply sweet. Apricot, tangerine zest, dark chocolate, honey, rhododendron in aroma and cup. Sweet-tart structure with juicy, bright acidity; buoyant, syrupy mouthfeel. The rich finish is centered around notes of dark chocolate and tangerine zest, with vanilla-toned florals.","A richly sweet, elegantly composed Bourbon cup from the Democratic Republic of the Congo; multi-layered and deeply engaging.Explore Similar CoffeesClick here for more reviews from JBC Coffee RoastersVisit JBC Coffee Roasters ",Medium-Light,56/78
"Cerrado Mineiro growing region, Santa Luzia, Brazil","Delicate, fruit-toned. Dried strawberry, brandy, dark chocolate, cedar, pink peppercorn in aroma and cup. Sweet-toned in structure with gentle, round acidity; lightly syrupy mouthfeel. Sweetly fermenty in the finish with notes of berry liqueur and pink peppercorn.","A quiet, integrated fruit-forward coffee from Brazil, with leading notes of brandy-toned strawberry and chocolate.Explore Similar CoffeesClick here for more reviews from Coava Coffee RoastersClick here for more information about coffees from Brazil ",Medium-Light,54/78
"Santa Bárbara, Honduras","Crisply sweet-savory. Toffee, black cherry, rosewood, walnut, violet-like flowers in aroma and cup. Richly bittersweet structure with juicy acidity; satiny-smooth mouthfeel. The crisp finish consolidates to notes of black cherry and walnut.","A rich, savory-leaning Pacas cup with tremendous depth of aroma and flavor.Explore Similar CoffeesClick here for more reviews from Coava Coffee RoastersClick here for more information about coffees from Honduras ",Medium-Light,56/80
"Yirgacheffe growing region, south-central Ethiopia","Bright, crisply sweet, chocolaty. Lemon blossom, nougat, roasted cacao nib, pomegranate, violet in aroma and cup. Balanced, sweetly tart structure with juicy, bright acidity; satiny-smooth mouthfeel. The resonant finish centers around cocoa and lightly-expressed citrus notes. ","A high-toned, juicy Yirgacheffe cup, classic in its balance of bright fruit, sweet floral and cocoa tones.Explore Similar CoffeesClick here for more reviews from Paradise RoastersClick here for more information about coffees from EthiopiaVisit Paradise Roasters ",Medium-Light,56/74
"Chiriqui Province, far western Panama","Wild, unruly, utterly brilliant and original. Intensely and intricately floral-toned: opulent lily through delicate violet with a shifting bouquet of possibilities between. At the heart of aroma and flavor is a cidery, brandyish compote of fruit--apple, passion fruit, lychee--rounded by a fine, cocoa-toned chocolate. The structure is shifty, simultaneously sweet, crisply bitterish and tart, the mouthfeel plump and syrupy. The finish rings on with continuing layers of fruit, flowers, cocoa and coconut.   ","The grand floral and cocoa complexity of the Gesha variety is amplified here by an innovative processing method that turns mouthfeel big and buoyant and the fruit lush, intense and giddily brandy-toned.Explore Similar CoffeesClick here for more reviews from Bird Rock Coffee RoastersClick here for more information about coffees from PanamaVisit Bird Rock Coffee Roasters ",Medium-Light,50/74
"Tolima Department, Colombia","Floral-toned, richly sweet. Narcissus, roasted cacao nib, toffee, apricot, sandalwood in aroma and cup. Deeply sweet-tart structure with juicy, bright acidity; full, syrupy mouthfeel. Resonant finish centers around cocoa-toned narcissus and apricot.","An engaging coffee from the unusual Sidra variety—rich, floral, balanced and bright.Explore Similar CoffeesClick here for more reviews from KaffetreClick here for more information about coffees from Colombia ",Medium-Light,58/80
"Huila, Colombia","Deep, richly sweet-savory. Black currant, fine musk, toffee, jasmine, celery seed in aroma and cup. Sweet-savory in structure with bright, juicy acidity; plush, syrupy mouthfeel. The flavor-saturated finish is equal parts sweet-leaning (black currant, toffee, jasmine) and savory (musk, celery seed). ",A splendid Colombia Geisha: deep floral and fruit tones juxtaposed with underlying umami intrigue.Explore Similar CoffeesClick here for more reviews from Paradise RoastersClick here for more information about coffees from ColombiaVisit Paradise Roasters ,Medium-Light,53/77
"Jutiapa Department, Guatemala","Richly sweet, spice-toned. Cocoa powder, cinnamon, oak, lily, lemongrass in aroma and cup. Sweet structure with gentle, round acidity; full, velvety mouthfeel. The finish centers on cocoa and lily-like flowers with a hint of lemongrass.",A resonantly sweet Guatemala cup with notes of warming spices and cocoa powder throughout.Explore Similar CoffeesClick here for more reviews from Red Rock RoastersClick here for more information about coffees from Guatemala ,Medium-Light,50/72
"Alaka District, Guji Zone, Oromia region, southern Ethiopia","Fruit-toned, richly sweet. Strawberry, dark chocolate, nutmeg, grapefruit zest, fresh-cut fir in aroma and cup. Sweet-toned structure with round, gentle acidity; satiny-smooth mouthfeel. The gently drying finish centers around fresh-cut fir with strawberry and nutmeg suggestions.","A fruit-forward, natural-processed Ethiopia cup with a throughline of sweet aromatic wood notes.Explore Similar CoffeesClick here for more reviews from Vienna Coffee CompanyClick here for more information about coffees from Ethiopia ",Medium-Light,56/76
"Guji Zone, southern Ethiopia","Fruit-toned, richly chocolaty. Dark chocolate, dried blueberry, freesia-like flowers, honey, cedar in aroma and cup. Sweet-tart structure with round, gentle acidity; full, syrupy mouthfeel. The finish consolidates to blueberry and chocolate notes, with a hint of cedar.","A cleanly crisp yet plushly fruit-toned, natural-processed Ethiopia cup.Explore Similar CoffeesClick here for more reviews from Topeca Coffee RoastersClick here for more information about coffees from Ethiopia ",Medium-Light,56/77
"Nyeri growing region, south-central Kenya","Richly spiced-toned, deeply sweet. Dried apricot, molasses, pink peppercorn, dark chocolate, jasmine in aroma and cup. Sweet-savory structure with engaging, bright acidity; plush, syrupy mouthfeel. The short finish leads with dried apricot and dark chocolate, followed in the long by jasmine and pink peppercorn.",An opulent Kenya carried by spice notes (both floral and peppery) that balance the coffee’s deep sweetness.Explore Similar CoffeesClick here for more reviews from Small Eyes CafeClick here for more information about coffees from Kenya ,Medium-Light,54/76
"São Sebastião de Grama, Brazil","Richly sweet, nut-toned. Baker’s chocolate, hazelnut butter, pear, agave syrup, fresh-cut fir in aroma and cup. Sweet-toned structure with brisk acidity; satiny-smooth mouthfeel. Chocolate- and nut-toned in the long, resonant finish.","A friendly, richly nut-toned Brazil cup, a bit reminiscent of nutella, with pleasing notes of fresh-cut fir and pear throughout.Explore Similar CoffeesClick here for more reviews from Topeca Coffee RoastersClick here for more information about coffees from Brazil ",Medium-Light,58/80
"Yirgacheffe growing region, southern Ethiopia","Delicately floral and fruit-toned. Honeysuckle, honeydew melon, lemon verbena, roasted cacao nib, frankincense in aroma and cup. Sweet-tart structure with playful, bright acidity; full, satiny mouthfeel. The richly sweet finish consolidates to cocoa-toned honeysuckle and melon.","A balanced, richly floral natural-processed Ethiopia cup redolent with crisply sweet fruit tones throughout.Explore Similar CoffeesClick here for more reviews from Red Rooster Coffee RoasterClick here for more information about coffees from EthiopiaVisit Red Rooster Coffee Roaster ",Medium-Light,60/80
"Antigua growing region, Guatemala","Deeply sweet, rich-toned. Apricot, baker’s chocolate, honeysuckle, oak, agave syrup in aroma and cup. Sweet in structure with brisk acidity; full, syrupy mouthfeel. The finish consolidates to apricot and baker’s chocolate, with hints of honeysuckle.","An impressive sweetness is complicated by a brisk edge in this big-bodied, apricot- and cocoa-toned Guatemala.Explore Similar CoffeesClick here for more reviews from Temple Coffee and TeaClick here for more information about coffees from GuatemalaVisit Temple Coffee and Tea ",Medium-Light,56/70
"Yirgacheffe growing region, southern Ethiopia","Delicately opulent. Honey, lemon blossom, cocoa, fresh pipe tobacco, a hint of roasted nut in aroma and cup. Very sweet, gently crisp in structure; buoyant, almost levitating in mouthfeel. Quietly resonant, cocoa-toned in the finish.","A classic version of the Yirgacheffe cup, all seductive flowers, soft citrus, and cocoa.Explore Similar CoffeesClick here for more reviews from Red Rooster Coffee RoasterClick here for more information about coffees from EthiopiaVisit Red Rooster Coffee Roaster ",Light,62/82
"Kirinyaga District, south-central Kenya","Richly sweet, spice-toned. Roasted cacao nib, tamarind, tangerine zest, freesia-like flowers, almond in aroma and cup. Sweet-tart structure with juicy acidity; crisp, satiny mouthfeel. Resonant finish centers on notes of cocoa-toned tamarind and freesia.",A balanced and engaging Kenya: high-toned with spicy floral and delicate cocoa notes.Explore Similar CoffeesClick here for more reviews from Temple Coffee and TeaClick here for more information about coffees from KenyaVisit Temple Coffee and Tea ,Medium,47/64
"Aceh growing region, Aceh Province, northern Sumatra, Indonesia","Richly sweet, spicy, tobacco-toned. Pipe tobacco, almond brittle, ginger blossom, mango, roasted cacao nib in aroma and cup. Sweet-savory structure with gentle, rounded acidity; crisp, satiny mouthfeel. The finish resonates with vanilla-toned pipe tobacco and ginger blossom.",Expressive and resonant: Spice-toned florals and sweetly savory pipe tobacco offer rich throughlines.Explore Similar CoffeesClick here for more reviews from JBC Coffee RoastersClick here for more information about coffees from SumatraVisit JBC Coffee Roasters ,Medium-Light,56/76
"Nyeri growing region, south-central Kenya","Complex, layered, spice-toned. Coconut, blackberry, ginger blossom, wild honey, dark chocolate in aroma and cup. The structure is sweet, tart and savory in balance with juicy, bright acidity. Plush, syrupy mouthfeel. The long, resonant finish centers around berry and coconut, supported by ginger blossom and chocolate.","A big, lavishly complex, high-toned Kenya cup alive with berry and tropical fruit, spicy florals and deep chocolate.Explore Similar CoffeesClick here for more reviews from Coava Coffee RoastersClick here for more information about coffees from Kenya ",Medium-Light,56/72
"Nyeri growing region, south-central Kenya","Bright, richly sweet-savory. Red currant, hop flowers, fresh-cut cedar, roasted cacao nib, almond brittle in aroma and cup. Richly bittersweet structure with resonant, high-toned acidity; viscous, satiny mouthfeel. The lingering finish leads with red currant and almond brittle in the short, settling to cacao nib and hop flowers in the long.","A harmonious Kenya that gracefully integrates sweet and savory, bright and bitter, in vibrant balance.Explore Similar CoffeesClick here for more reviews from Kakalove CafeClick here for more information about coffees from KenyaVisit Kakalove Cafe ",Medium-Light,57/79
"Yirgacheffe growing region, south-central Ethiopia","High-toned, richly sweet-tart. Apricot, wild honey, sandalwood, roasted cacao nib, lilac in aroma and cup. Sweetly tart structure with vibrant, juicy acidity; plush, syrupy mouthfeel. The finish is resonant with all the aroma and flavor notes of the cup, leading with apricot and lilac in the short and cocoa-toned sandalwood in the long, all sustained by a deep, honeyish sweetness. ","Dynamic, engaging, classic washed Ethiopia cup, propelled by sweet floral and juicy stone-fruit notes.Explore Similar CoffeesClick here for more reviews from Kakalove CafeClick here for more information about coffees from EthiopiaVisit Kakalove Cafe ",Medium-Light,57/79
"Guji Zone, Oromia Region, southern Ethiopia","Elegantly fruit-toned, chocolaty. Dark chocolate, dried fig, oak, narcissus-like flowers, molasses in aroma and cup. Crisply sweet structure with balanced, vibrant acidity; full, syrupy mouthfeel. The finish consolidates to notes of dried fig and molasses supported by a rich dark chocolate.","A cleanly and seductively fruit-forward, richly chocolate-toned natural-processed Ethiopia cup.Explore Similar CoffeesClick here for more reviews from Kakalove CafeClick here for more information about coffees from EthiopiaVisit Kakalove Cafe ",Medium-Light,57/79
"Guji Zone, Oromia Region, southern Ethiopia","Rich-toned, crisply sweet. Narcissus, plum, cedar, cashew butter, honey in aroma and cup. Sweet-tart structure with soft acidity; satiny-smooth mouthfeel. The finish resonates with plum and narcissus notes in the short, consolidating to cashew and cedar in the long.","A fine Ethiopia wet-processed cup: balanced and engaging, with stone fruit and sweet florals as throughlines.Explore Similar CoffeesClick here for more reviews from Steadfast CoffeeClick here for more information about coffees from Ethiopia ",Medium-Light,52/76
"Chalatenango, El Salvador","Fruit-forward, crisply sweet. Peach, grapefruit zest, hazelnut, molasses, oak in aroma and cup. Savory-sweet structure with round, gentle acidity; full, satiny mouthfeel. The resonant finish centers around notes of peach, grapefruit zest and oak.","A washed-process Pacamara cup that leads with bright stone fruit notes, balanced by bittersweet citrus zest and aromatic wood.Explore Similar CoffeesClick here for more reviews from Speckled AxClick here for more information about coffees from El Salvador ",Medium-Light,55/75
Ethiopia; Kenya,"Pungently sweet, deeply expressive. Gooseberry, sandalwood, narcissus-like flowers, maple syrup, baker's chocolate in aroma and cup. Sweet in structure with savory resonance; crisp, velvety mouthfeel. The long, quiet finish is flavor-saturated.","A fine and wintery Ethiopia-Kenya blend named for the bonds formed within and beyond the family: deep, rich, both sweet and savory.Explore Similar CoffeesClick here for more reviews from Revel CoffeeVisit Revel Coffee ",Medium-Light,54/78
"Yirgacheffe growing region, Ethiopia","Delicate, sweetly savory. Red currant, honeysuckle, roasted cacao nib, agave syrup, eucalyptus in aroma and cup. Lively acidity lifts the sweet-savory structure; full, syrupy mouthfeel. The richly drying finish consolidates to notes of red currant, eucalyptus and cacao nib.","A richly aromatic blend of two Ethiopia coffees, one washed- and one natural-processed, that deliver a complex package of bright and savory: flowers, pungent fruit, herb.Explore Similar CoffeesClick here for more reviews from Olympia Coffee Roasting ",Medium-Light,56/80
"Piedra Candela, Chiriqui Province, far western Panama","Cleanly fruit-toned, delicately rich. Rum cordial, orange zest, coconut, plum, cedar in aroma and cup. Sweet-toned structure with gentle, round acidity; plump, satiny-smooth mouthfeel. The inviting finish leads with coconut and plum in the short, with notes of cedar and rum cordial returning in the long.","A stone fruit-driven natural-processed Geisha cup with an engaging, cleanly cordial-like fruit ferment suggestion throughout.Explore Similar CoffeesClick here for more reviews from Willoughby's Coffee & TeaClick here for more information about coffees from PanamaVisit Willoughby's Coffee & Tea ",Medium-Light,53/75
Ethiopia; Rwanda; Colombia,"Balanced, richly sweet, tart and savory. Fine musk, dried hibiscus flowers, perique (fermented) pipe tobacco, candy cap mushroom, apricot in aroma and cup. Sweet-tart-savory structure with punchy acidity; lightly creamy, viscous mouthfeel. The rich-toned finish centers around apricot and umami-redolent notes akin to candy cap mushroom.","2018's highest-rated holiday blend, a dynamic, spirited, original coffee with sweet, tart and savory tendencies harmoniously balanced. Organic- and fair-trade-certified; packaged in a gift bag with original art on the label.Explore Similar CoffeesClick here for more reviews from Red Rooster Coffee RoasterVisit Red Rooster Coffee Roaster ",Medium-Light,54/76
"Narino Department, southern Colombia","Complex, multi-faceted, spice-toned. Dahlia-like flowers, bergamot, almond, vanilla, roasted cacao nib in aroma and cup. Sweetly tart structure with balanced, bright acidity; delicate, silky-smooth mouthfeel. Bergamot and vanilla-toned cocoa carry the quiet, balanced finish.",Layers upon layers of spicy floral and fruit notes resonate in this natural-processed Gesha from Colombia.Explore Similar CoffeesClick here for more reviews from Joe Van Gogh CoffeeClick here for more information about coffees from Panama ,Medium-Light,54/74
"Sidamo (also Sidama) growing region, south-central Ethiopia","Rich-toned, resonantly floral. Wisteria, myrrh, almond nougat, lemon curd, dried cherry in aroma and cup. Sweetly tart structure with zesty, bright acidity; full, syrupy mouthfeel. The finish leads with tart lemon curd and cherry notes, followed by deep wisteria with an undercurrent of almond.",A floral-driven natural-processed Ethiopia Geisha that invokes a stroll under wisteria vines; tart fruit and sweet nut tones provide support and balance.Explore Similar CoffeesClick here for more reviews from Ho Soo TsaiClick here for more information about coffees from Ethiopia ,Medium-Light,60/80
"Boquete growing region, western Panama","Elegantly rich, decadently fruit-toned. Dark chocolate, raspberry liqueur, frankincense, freesia-like flowers, almond brittle in aroma and cup. Deeply sweet in structure with vibrant acidity; plush, syrupy mouthfeel. The resonant finish is long and saturated with all of the flavors and aromas of the cup.","A knockout fruit-bomb of a Gesha cup, processed by Ninety Plus' proprietary ""hot fermentation"" method that is designed to intensify sweetness.Explore Similar CoffeesClick here for more reviews from Bar NineClick here for more information about coffees from Panama ",Medium-Light,55/75
"Piedra Candela, Chiriqui Province, far western Panama","Crisply floral and sweetly herb-toned. Dark chocolate, lavender, dried pear, tangerine zest, frankincense in aroma and cup. Sweet-tart in structure with lively, expansive acidity; crisp, syrupy mouthfeel. The finish consolidates to pretty notes of lavender and dark chocolate, with a hint of tangerine zest.","A washed Panama Geisha cup, classic in its high-toned confidence, paradoxically both crisp and richly syrupy.Explore Similar CoffeesClick here for more reviews from Bird Rock Coffee RoastersClick here for more information about coffees from PanamaVisit Bird Rock Coffee Roasters ",Medium-Light,54/78
"Alto Quiel, Boquete growing region, western Panama","Crisp yet very sweet, delicately intricate. Lavender, lemon zest, apple, walnut, fresh pipe tobacco in aroma and cup. In structure massively sweet, gently tart; light, velvety, lively mouthfeel. Apple, lemon and fresh tobacco notes saturate a quiet, lightly drying finish.  ",Delicate yet extravagant rendition of the great Geisha profile.Explore Similar CoffeesClick here for more reviews from Willoughby's Coffee & TeaClick here for more information about coffees from PanamaVisit Willoughby's Coffee & Tea ,Medium-Light,56/84
"Jaramillo, Boquete growing region, western Panama","Big, round, deeply and pungently layered. Fragrant cedar, lavender, baker’s chocolate, Concord grape, a hint of mace in aroma and cup. Bittersweet and rich in structure; fat and plush in mouthfeel with a drying edge. Concord grape and cedar dominate in a continuing pungent but quite sweet finish. ","Grapey sweetness working against a complex cedary, lavender-toned pungency distinguishes this intriguing black-honey-processed version of great Geisha cup.Explore Similar CoffeesClick here for more reviews from Willoughby's Coffee & TeaClick here for more information about coffees from PanamaVisit Willoughby's Coffee & Tea ",Medium-Light,50/75
"Alto Quiel, Boquete growing region, western Panama","Crisp, delicately but intricately floral- and spice-toned. Jasmine, walnut, pipe tobacco, sandalwood, ripe peach, a hint of lime zest in aroma and cup. Brisk and vivacious in structure; light, silky mouthfeel. Flavor layers but rings on in a jasmine-toned, gently drying finish.",Another essay in delicately lush extravagance and aromatic originality from the great Geisha variety.Explore Similar CoffeesClick here for more reviews from Willoughby's Coffee & TeaClick here for more information about coffees from PanamaVisit Willoughby's Coffee & Tea ,Medium-Light,57/79
Ethiopia; Guatemala; Kenya,"Crisply delicate yet resonantly deep. Blackberry, tea rose, clover flower, grapefruit zest, musk in aroma and cup. In structure intensely tart yet very sweet, with a slight deepening savory edge. Light and silky in mouthfeel. Superb finish: sweet, flavor-saturated, long, intact in aromatics and structure. ",The blender’s art at its finest: an original and complete cup.Explore Similar CoffeesClick here for more reviews from Mi's Cafe ,Medium-Light,55/72
"Odo Shakiso District, Guji Zone, Oromia region, southern Ethiopia","Delicately sweet-tart, cocoa-toned. Roasted cacao nib, lemon zest, narcissus, mango, frankincense in aroma and cup. Intricately sweet, high-toned, with bright, juicy acidity; lush, syrupy mouthfeel. The richly sweet finish consolidates to cocoa-toned mango supported by notes of frankincense.","A classic natural-processed Ethiopia cup: balanced, driven by fruit and floral tones, with an elegant cocoa throughline.Explore Similar CoffeesClick here for more reviews from Ben's BeansClick here for more information about coffees from Ethiopia ",Medium-Light,53/73
"Yirgacheffe growing region, southern Ethiopia","Crisply sweet-tart. Apricot, sandalwood, maple syrup, orange zest, freesia-like flowers in aroma and cup. Sweet-tart structure with brisk acidity; satiny-smooth mouthfeel. The finish is quietly flavor-saturated, with lead notes of apricot and sandalwood.",A high-toned wet-processed Ethiopia cup with balanced vivacity.Explore Similar CoffeesClick here for more reviews from Temple Coffee and TeaClick here for more information about coffees from EthiopiaVisit Temple Coffee and Tea ,Medium-Light,53/73
Not disclosed,"Evaluated as espresso. Sweetly roast-toned, chocolaty. Dark chocolate, raisin, gently scorched fir, almond, a hint of lush, lily-like flowers in aroma and small cup. Creamy mouthfeel; crisp, richly drying finish. In three park milk, notes of dark chocolate lead the way, supported by raisin and smoky aromatic wood.",A friendly darker-roasted espresso blend with satisfying dark chocolate and raisiny dried fruit tones throughout.Explore Similar CoffeesClick here for more reviews from Nella's SOGOOD Coffee ,Medium,42/64
"Huila, Colombia","Crisply sweet, balanced. Baker’s chocolate, maple syrup, gardenia, cherry, cedar in aroma and cup. Sweet-tart in structure with brisk acidity; velvety mouthfeel. The finish consolidates to baker’s chocolate and gardenia with hints of cedar.","A sweet-toned, engaging Colombia cup with crisp baker’s chocolate as a throughline.Explore Similar CoffeesClick here for more reviews from Espresso RepublicClick here for more information about coffees from Colombia ",Medium-Light,54/74
"Antioquia, Colombia","Evaluated as espresso. Richly sweet, cocoa-toned. Cocoa powder, date, magnolia, molasses, oak in aroma and small cup. Satiny-smooth mouthfeel; resonant, chocolaty finish with notes of magnolia and oak. In three parts milk, floral tones are amplified, and cocoa notes are integrated with roasty-sweet aromatic wood.","A solid, straightfoward decaf espresso from Colombia, especially chocolaty in cappuccino-scaled milk.Explore Similar CoffeesClick here for more reviews from Espresso Republic ",Medium,44/60
"Santander, Colombia","Richly sweet, floral-toned. Narcissus, roasted cacao nib, agave syrup, fir, red apple in aroma and cup. Sweet-toned structure with gentle, rounded acidity; smooth, satiny mouthfeel. The gently drying finish centers around roasted cacao nib and narcissus-like floral notes.",A crisply sweet Colombia cup driven by engaging floral notes and hints of red apple and fresh-cut fir.Explore Similar CoffeesClick here for more reviews from Espresso RepublicClick here for more information about coffees from Colombia ,Medium-Light,51/71
South-central Kenya,"Spice-toned, deep, resonant. Dried persimmon, perique (fermented) tobacco, cinnamon, dark chocolate, gardenia-like flowers in aroma and cup. Sweet-savory structure with engagingly citrusy acidity; plush, syrupy mouthfeel. The finish leads with dried persimmon and dark chocolate, followed by pipe tobacco and cinnamon.",A rich-toned Kenya carried by pleasing savory notes that support and balance the coffee’s deep sweetness.Explore Similar CoffeesClick here for more reviews from Bird Rock Coffee RoastersClick here for more information about coffees from KenyaVisit Bird Rock Coffee Roasters ,Medium-Light,52/76
"Santa Ana region, El Salvador","Delicately but pungently floral. Narcissus-like flowers, baker’s chocolate, tart black currant, oak, roasted pistachio in aroma and cup. Crisply sweet and lightly savory in structure; plump and lightly syrupy in mouthfeel. Flowers, cocoa-like chocolate, pistachio in particular carry into a gently drying finish.","A subtle but persuasive version of the resonantly pungent, berry-and-flowers Kenya-style cup.Explore Similar CoffeesClick here for more reviews from JBC Coffee RoastersClick here for more information about coffees from El SalvadorVisit JBC Coffee Roasters ",Medium-Light,57/80
"Jimma Zone, Oromia State, Ethiopia","Delicate, sweetly tart. Lemon drop, roasted cacao nib, pink peppercorn, almond, orange zest in aroma and cup. Sweet-tart structure with bright, juicy acidity; satiny-smooth mouthfeel. The resonant finish consolidates to notes of lemon drop and cocoa, with a hint of pink peppercorn.","A spirited, high-toned Ethiopia cup with vivacious floral spice notes throughout.Explore Similar CoffeesClick here for more reviews from Bird Rock Coffee RoastersClick here for more information about coffees from EthiopiaVisit Bird Rock Coffee Roasters ",Medium-Light,54/78
"Poás Volcano region, central Costa Rica","Evaluated as espresso. Crisp, chocolate-toned and cedary. Dark chocolate, pecan, gently scorched cedar, ripe banana, tangerine zest in aroma and small cup. Lightly syrupy mouthfeel; roundly bittersweet in the finish: chocolate, cedar, tangerine. Cedar dominates in three parts milk, quietly enveloped by chocolate and ripe banana.","Moderately-dark-roasted, this dried-in-the-fruit Costa Rica nets a quietly classic espresso profile: chocolaty, with a roast-toned, cedary depth and a zingy hint of tangerine.Explore Similar CoffeesClick here for more reviews from Temple Coffee and TeaClick here for more information about coffees from Costa RicaVisit Temple Coffee and Tea ",Medium,48/57
"Holualoa, North Kona growing district, “Big Island” of Hawaii","Enchantingly rich, intensely floral, unique. Dried black cherry, tea rose, Cognac, chocolate fudge, gently scorched almond wood in aroma and cup. Deeply sweet-savory in structure with crisp, apple-toned acidity; plump, syrupy mouthfeel. Exceptionally long finish that carries over all the aroma and flavor notes from the cup, plus an umami intrigue akin to candied bacon.","A marvel of a coffee, inviting and esoteric, chimerical and grounded, all at once.Explore Similar CoffeesClick here for more reviews from Hula Daddy Kona CoffeeClick here for more information about coffees from HawaiiVisit Hula Daddy Kona Coffee ",Medium,46/64
